# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
key,value
recording_name,S19M1152
recording_pntfile,data/SMP/SNEX20_SMP_S19M1152_9C16_20200205.PNT
recording_timestamp,2000-06-21T20:00:25+00:00
recording_latitude,39.04427719116211
recording_longitude,-108.19705963134766
recording_length,1165.859455271624
recording_samplecount,282139
recording_spatialresolution,0.00413223123177886
recording_overload,40
recording_speed,20.0
smp_serial,19
smp_firmware,406
smp_maxlength,1720
smp_tipdiameter,5000
smp_sensor_serial,9207 SN1116517?????
smp_sensor_sensitivity,120
smp_amplifier_serial,5030A3 4549317?????
pnt_SMP_FIRMWARE,406
pnt_SAMPLES_COUNT,284343
pnt_SAMPLES_SPATIALRES,0.00413223123177886
pnt_SAMPLES_CONVFACTOR_FORCE,0.0012716046767309308
pnt_SAMPLES_CONVFACTOR_PRESSURE,0.0
pnt_SAMPLES_OFFSET_FORCE,0
pnt_TIMESTAMP_YEAR,2000
pnt_TIMESTAMP_MONTH,6
pnt_TIMESTAMP_DAY,21
pnt_TIMESTAMP_HOUR,20
pnt_TIMESTAMP_MINUTE,0
pnt_TIMESTAMP_SECOND,25
pnt_GPS_CH1903_X,5.877471754111438e-39
pnt_GPS_CH1903_Y,5.877471754111438e-39
pnt_GPS_CH1903_Z,5.877471754111438e-39
pnt_BATTERY_VOLTAGE,5.877471754111438e-39
pnt_SAMPLES_SPEED,20.0
pnt_LOOPSIZE,0
pnt_WAYPOINTS,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
pnt_CAL_START,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
pnt_CAL_END,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
pnt_COMMENT_LENGTH,0
pnt_COMMENT_CONTENT,______________________________________________________________________________________________________
pnt_FILENAME,S19M1152
pnt_GPS_WGS84_LATITUDE,39.04427719116211
pnt_GPS_WGS84_LONGITUDE,108.19705963134766
pnt_GPS_WGS84_HEIGHT,99999.0
pnt_GPS_PDOP,1.2700001001358032
pnt_GPS_WGS84_NORTH,N
pnt_GPS_WGS84_EAST,W
pnt_GPS_NUMSATS,0
pnt_GPS_FIXMODE,3
pnt_GPS_STATE,0
pnt_RESERVED1,95
pnt_LOCAL_X,0
pnt_LOCAL_Y,0
pnt_LOCAL_Z,0
pnt_LOCAL_THETA,0
pnt_RESERVED2,"(95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95)"
pnt_SAMPLES_COUNT_FORCE,282139
pnt_SAMPLES_COUNT_TEMP,0
pnt_SENSOR_RANGE,5000
pnt_AMPLIFIER_RANGE,5000
pnt_SENSOR_SENSITIVITIY,120
pnt_SENSOR_TEMPOFFSET,24415
pnt_SENSOR_HANDOP,0
pnt_SMP_TIPDIAMETER,5000
pnt_SENSOR_OVERLOAD,40
pnt_SENSOR_TYPE,?
pnt_AMPLIFIER_TYPE,?
pnt_SMP_SERIAL,19
pnt_SMP_LENGTH,1720
pnt_RESERVED3,"(95, 95, 95, 95)"
pnt_SENSOR_SERIAL,9207 SN1116517?????
pnt_AMPLIFIER_SERIAL,5030A3 4549317?????
pnt_RESERVED4,"(95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95)"
